id,name,type,prop1,prop1_val,prop2,prop2_val,element,elem_val,contribute,sellprice,equippos,level,BuyingPrice,SellingPrice,ItemDescription,unk1,unk2,unk3,unk4,unk5,unk6,unk9,unk10,unk11,unk12,unk13,unk14,unk15,unk16
10495,กระบองฟันมังกร,1,210,33,0,0,0,-100,1,29,3,117,0,29,อาวุธหนักระดับรุนแรงที่มีเขี้ยวอันแหลมคมของมังกรป่า,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10496,ตะบองสยบมังกร,1,210,50,214,-15,0,-100,1,29,3,117,0,29,อาวุธลึกลับที่สามารถทุบศัตรูให้แบนได้ภายในครั้งเดียว,0,0,0,0,8,0,0,0,0,0,0,0,0,0
10497,จอบทหารเหลือง,39,210,10,0,0,0,-100,1,19,3,85,0,19,เครื่องมือขุดที่ชาวผ้าเหลืองต้องมีติดตัว,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10499,ค้อนยักษ์,39,210,100,214,-60,0,-100,1,20,3,0,0,1,อาวุธหนักที่ตีศัตรูทีเดียวก็แบนแต๋,0,0,0,0,76,0,0,0,0,0,0,0,0,0
10500,กระบองเขี้ยว,39,210,60,214,-20,0,-100,1,20,3,0,0,1,กระบองยาวมีหนามแหลมตีถูกใครจะเจ็บปวดมาก,0,0,0,0,76,0,0,0,0,0,0,0,0,0
10501,ดาบเทิดธรณี,1,210,11,0,0,1,1,1,10,3,40,0,10,รอบใบดาบสามารถหลอมรวมฝุ่นทราย,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10502,ดาบทะลายคลื่น,1,210,11,0,0,2,1,1,10,3,40,0,10,มีอานุภาพแห่งคลื่นน้ำโจมตี,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10503,ดาบเพลิงร่อน,1,210,11,0,0,3,1,1,10,3,40,0,10,ยามสะบัดฟาดฟันจะบังเกิดเปลวเพลิง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10504,ดาบวายุลำพอง,1,210,11,0,0,4,1,1,10,3,40,0,10,ถือครองดาบนี้สะบัดฟาดโจมตีได้รวดเร็วเหนือสายลม,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10505,ดาบผู้ป้องกัน,1,210,15,214,5,0,-100,1,5,3,15,0,5,ยุทธภัณฑ์เฉพาะเมืองต้าม่อ,0,0,0,0,127,0,0,0,0,0,0,0,5,0
10506,ดาบผู้ล้างแค้น,1,210,8,0,0,0,-100,1,7,3,25,0,7,อาวุธล้างแค้นที่หลอมสร้างด้วยการบรรจุพลังหัวใจของเจ้าเอ๋อ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10507,ดาบหิมะคะนิ้ง,1,210,30,0,0,0,-100,1,16,3,30,29800,16,อาวุธเทพอันร้ายกาจล่องลอยมาจากสวรรค์,0,0,0,0,12,0,0,0,0,0,0,0,0,0
10508,ดาบทรายคลั่ง,1,210,16,0,0,1,2,1,15,3,65,0,15,ดาบวิเศษที่แข็งแกร่งสามารถฟันหินให้ขาดได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10509,ดาบบึงยะเยือก,1,210,16,0,0,2,2,1,15,3,65,0,15,อาวุธวิเศษที่มาจากทะเลสาปน้ำแข็งขั้วโลกเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10510,ดาบเพลิงลวง,1,210,16,0,0,3,2,1,15,3,65,0,15,ดาบทองสำริดที่หลอมขึ้นมาจากหินอัคคี,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10511,ดาบอสนีโผน,1,210,16,0,0,4,2,1,15,3,65,0,15,เมื่อใช้ดาบเล่มนี้จะมีฟ้าผ่า,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10512,ดาบดินหิมะ,1,210,19,0,0,1,2,1,18,3,80,0,18,ตำนานเล่าว่าเป็นดาบที่คนร้ายใช้มีพลังรุนแรง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10513,ดาบทะเลสาบ,1,210,19,0,0,2,2,1,18,3,80,0,18,ดาบเล่มนี้ตอนหลอมได้ใช้น้ำที่เย็นจัดราดหลายครั้ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10514,ดาบคบฟ้า,1,210,19,0,0,3,2,1,18,3,80,0,18,ดาบที่ฟันเหล็กได้ง่ายเหมือนฟันดินดื่มเลือดคนมานับไม่ถ้วน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10515,ดาบวายุทะยาน,1,210,19,0,0,4,2,1,18,3,80,0,18,ดาบอานุภาพร้ายแรงที่ใช้เทคนิคพิเศษในการตี,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10516,ดาบยุทธหมึก,1,210,23,0,0,1,2,1,22,3,96,0,22,หลอมจากหินภูเขาไฟของเขาเฮยซาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10517,ดาบลายคลื่น,1,210,23,0,0,2,2,1,22,3,96,0,22,ดาบแหลมคมส่งประกายลายคลื่นเย็นยะเยือก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10518,ดาบอสูรไฟ,1,210,23,0,0,3,2,1,22,3,96,0,22,ดาบยาวส่งประกายเพลิงสีแดงอ่อนๆ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10519,ดาบเขาคะนิ้ง,1,210,23,0,0,4,2,1,22,3,96,0,22,ดาบน่ากลัวเปล่งความเย็นบีบคั้นผู้คน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10520,ดาบหลอมแกร่ง,1,210,10,214,1,0,-100,1,8,3,0,0,1,ดาบวิเศษที่หลอมตีซ้ำแล้วซ้ำเล่า,0,0,0,0,8,0,0,0,0,0,0,0,13,0
10521,ดาบเหล็กแกร่ง,1,210,18,214,2,1,1,1,14,3,0,0,1,ดาบวิเศษสีทองตัดเหล็กเหมือนตัดดินเลน,0,0,0,1,8,0,0,0,0,0,0,0,0,0
10522,ดาบเหล็กแกร่ง,1,210,18,214,2,2,1,1,14,3,0,0,1,ดาบวิเศษสีน้ำเงินตัดเหล็กเหมือนตัดดินเลน,0,0,0,1,8,0,0,0,0,0,0,0,0,0
10523,ดาบเหล็กแกร่ง,1,210,18,214,2,3,1,1,14,3,0,0,1,ดาบวิเศษสีแดงชาดตัดเหล็กเหมือนตัดดินเลน,0,0,0,1,8,0,0,0,0,0,0,0,0,0
10524,ดาบเหล็กแกร่ง,1,210,18,214,2,4,1,1,14,3,0,0,1,ดาบวิเศษสีเขียวตัดเหล็กเหมือนตัดดินเลน,0,0,0,1,8,0,0,0,0,0,0,0,0,0
10525,ดาบ-เทียนซู,1,210,33,214,5,1,2,1,24,3,108,0,1,ดาบวิเศษธาตุดินได้ชื่อจากดาวขุยของกลุ่มดาวขั้วโลกเหนือ,0,0,0,0,24,0,0,0,0,0,0,0,0,0
10526,ดาบ-เทียนสวน,1,210,33,214,5,2,2,1,24,3,108,0,1,ดาบวิเศษธาตุน้ำได้ชื่อจากดาวขุยของกลุ่มดาวขั้วโลกเหนือ,0,0,0,0,24,0,0,0,0,0,0,0,0,0
10527,ดาบ-เทียนจี,1,210,33,214,5,3,2,1,24,3,108,0,1,ดาบวิเศษธาตุไฟได้ชื่อจากดาวขุยของกลุ่มดาวขั้วโลกเหนือ,0,0,0,0,24,0,0,0,0,0,0,0,0,0
10528,ดาบ-เทียนฉวน,1,210,33,214,5,4,2,1,24,3,108,0,1,ดาบวิเศษธาตุลมได้ชื่อจากดาวขุยของกลุ่มดาวขั้วโลกเหนือ,0,0,0,0,24,0,0,0,0,0,0,0,0,0
10529,ดาบกำจ้าว,1,210,31,214,4,0,-100,1,25,3,50,0,1,ดาบวิเศษแหลมคมที่กำเหลงชอบใช้ตัวดาบสีน้ำเงินเข้มงดงามมาก,0,0,42,0,8,0,12,0,0,0,0,0,11,0
10530,จอบทองแท้,39,210,12,0,0,0,-100,1,20,3,90,0,1,จอบทองที่เศรษฐีร่ำรวยเท่านั้นถึงจะสร้างได้,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10531,จอบดำรง,39,210,14,0,0,0,-100,1,21,3,95,0,1,จอบที่ฮ่องเต้อธิษฐานขอให้อุดมสมบูรณ์,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10532,จอบเหอเถียน,39,210,16,0,0,0,-100,1,22,3,100,0,1,จอบสร้างจากหินหยกเหอเถียนที่หายาก,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10533,จอบหินกรวด,39,210,18,0,0,0,-100,1,23,3,105,0,1,จอบหินสร้างจากหินกรวดใหญ่สีน้ำเงินเข้ม,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10534,จอบหินผาชาด,39,210,20,0,0,5,1,1,24,3,110,0,1,จอบหินสร้างจากหินผาจ้าวมังกรสีแดงชาด,0,0,8,0,12,0,0,0,0,0,0,0,0,0
10535,โคมหยวนเซียว,1,0,0,0,0,0,-100,3,1,3,15,0,0,โคมสำหรับเทศกาลหยวนเซียว,0,0,0,0,95,0,0,0,0,0,0,0,0,0
10536,โคมล่าวิญญาณ,1,210,34,214,6,5,1,1,29,3,117,1050000,29,โคมประกายแดงที่สามารถชิง3ดวงวิญญาณของคน,0,0,0,0,72,0,0,0,0,0,0,0,0,0
10537,โคมยิงวิญญาณ,1,212,34,214,6,5,1,1,29,3,117,1050000,29,โคมแสงเขียวที่สามารถยิง7ดวงวิญญาณของคน,0,0,0,0,72,0,0,0,0,0,0,0,0,0
10538,โคมคืนปราณ,1,0,0,0,0,0,-100,3,1,3,15,0,0,โคมสำหรับเทศกาลหยวนเซียว,0,0,0,0,95,0,0,0,0,0,0,0,0,0
10539,กระบี่สิงขย้ำ,1,210,30,207,100,5,2,1,25,3,0,0,0,กระบี่วิเศษที่ส่องประกายสีน้ำเงินคมปลาบ,0,0,41,1,11,0,12,0,0,0,0,0,0,0
10540,กระบี่สิงคำราม,1,210,30,207,100,5,2,1,25,3,0,0,0,กระบี่วิเศษที่ส่องประกายสีแดงคมปลาบ,0,0,42,1,11,0,12,0,0,0,0,0,0,0
10541,ไม้เท้าเบิกฟ้า,1,212,30,207,100,5,2,1,25,3,0,0,0,ไม้เท้าที่ผานกู่ใช้ตอนผ่าท้องฟ้า,0,0,41,1,11,0,12,0,0,0,0,0,0,0
10542,ไม้เท้าผ่าพสุธ,1,212,30,207,100,5,2,1,25,3,0,0,0,ไม้เท้าที่ผานกู่ใช้ตอนผ่าแผ่นดิน,0,0,42,1,11,0,12,0,0,0,0,0,0,0
10543,ดาบตะวันพิโรธ,1,211,30,0,0,0,-100,1,16,3,0,0,0,ดาบวิเศษที่หลอมจากหินเพลิงพิโรธ,0,0,0,0,31,0,0,0,0,0,0,0,0,0
11001,กระบี่คมขาว,2,210,1,214,1,0,-100,1,1,3,0,10,1,กระบี่ที่สร้างจากเหล็กธรรมดา,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11002,กระบี่ม่วง,2,210,2,214,1,0,-100,1,2,3,3,20,2,อาวุธขนาดเล็กตัวกระบี่สั้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11003,กระบี่คม,2,210,3,214,1,0,-100,1,3,3,5,50,3,กระบี่ยาวสามฟุตมีลักษณะเรียวบาง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11004,กระบี่เหล็กดำ,2,210,4,214,1,0,-100,1,4,3,10,85,4,กระบี่เหล็กที่จำหน่ายทั่วไปในร้านตีเหล็ก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11005,กระบี่ฉางหลิว,2,210,5,214,1,0,-100,1,5,3,15,145,5,กระบี่ค่อนข้างหนักแต่มีอานุภาพร้ายแรง,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11006,กระบี่เมฆา,2,210,6,214,1,0,-100,1,6,3,20,245,6,กระบี่แร่เหล็กดำมีความคมที่แข็งแกร่งมาก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11007,กระบี่หยางซา,2,210,7,214,1,0,-100,1,7,3,25,420,7,กระบี่เหล็กมีอำนาจในการทำลายล้างมากขึ้น,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11008,กระบี่ซีหยง,2,210,8,214,1,0,-100,1,8,3,30,700,8,กระบี่ที่เผ่าซีหยงใช้โบราณกว่าของจงหยวน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11009,กระบี่พิสุทธิ์,2,210,9,214,1,0,-100,1,9,3,35,1200,9,กระบี่ที่ผ่านการหล่อหลอมมาเป็นอย่างดี,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11010,กระบี่อู๋อ๋อง,2,210,10,214,1,0,-100,1,10,3,40,2050,10,กระบี่วิเศษของอู๋อ๋องมีความน่าเกรงขาม,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11011,กระบี่กว้าง,2,210,1,214,1,0,-100,1,1,3,0,10,1,คมกระบี่กว้างสีเหลืองเป็นกระบี่ยาวที่แหลมคมมาก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11012,กระบี่ตะวันจร,2,210,2,214,1,0,-100,1,2,3,3,20,2,ตำนานกล่าวว่าเป็นกระบี่มีชื่อของรัฐฉู่สมัยรณรัฐ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11013,กระบี่ดาวฤกษ์,2,210,3,214,1,0,-100,1,3,3,5,50,3,กระบี่รักของเชื้อพระวงศ์ราชวงศ์ฮั่นตัวกระบี่กว้างและหนัก,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11014,กระบี่พิรุณ,2,210,4,214,1,0,-100,1,4,3,10,85,4,กระบี่เล็กที่คล่องแคล่วกระทัดรัดส่งประกายเหมือนเม็ดฝน,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11015,กระบี่ปิดเตา,2,210,5,214,1,0,-100,1,5,3,15,145,5,กระบี่วิเศษที่ความแข็งแกร่งและความเหนียวดีเยี่ยม,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11016,กระบี่เยียอ๋อง,2,210,11,214,2,0,-100,1,11,3,45,3480,11,กระบี่ประจำกายของโกวเจี้ยนหรืออ๋องเยี่ยฝีมือวิจิตรพิศดาร,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11017,กระบี่แสงคู่,2,210,12,214,2,0,-100,1,12,3,50,5900,12,กระบี่วิเศษส่องแสงสว่างดุจแสงอาทิตย์และแสงจันทร์,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11018,กระบี่ไล่อริ,2,210,13,214,2,0,-100,1,13,3,55,8800,13,"กระบี่รักของปันเชาขุนพลเลื่องชื่อแห่งราชวงศ์ฮั่นตะวันออก,มีความสง่างามแบบภาคตะวันตก",0,0,0,0,0,0,0,0,0,0,0,0,0,0
