id,name,type,image1,image2,color1,color2,color3,color4,notPet,unk5,unk6,lvl,hpmax,spmax,hpx,spx,int,atk,def,agi,doanhtrai,exp_bonus,element,skill1,skill2,skill3,drop1,drop2,drop3,drop4,drop5,drop6,unk1,skill4,reborn,unk2,unk3
10012,ซุนจ้ง,1,1065,1001,880444544,444711444,622444511,444444444,0,1,4,40,260,189,16,10,10,19,12,15,4,920,3,12001,12002,12003,26008,27055,27036,40021,0,47015,0,0,0,0,0
10013,จางข่าย,1,1003,1001,664156444,664222763,333444333,444444444,0,2,5,60,371,241,20,11,13,34,27,30,4,1380,1,10001,10003,10006,26047,27003,27036,0,0,0,0,0,0,0,0
10014,เหออี๋,1,1003,1001,141444444,141151762,652444333,444444444,0,2,5,58,368,248,21,13,11,31,23,19,4,1334,4,13001,13004,13006,26168,0,0,0,0,0,0,0,0,0,0
10015,เจ้าหง,1,1077,1001,444444444,661872444,872444444,444444444,0,8,2,59,400,256,26,14,5,30,25,20,4,1357,1,10002,10003,10006,27005,27066,27032,0,0,0,0,0,0,0,0
10016,หานจง,1,1065,1001,444444444,141875444,663444444,444444444,0,1,5,55,360,242,22,13,7,32,24,14,4,1265,4,13001,13002,13006,26100,27005,27036,0,0,47017,0,0,0,0,0
10017,ก่วนไห,1,1106,1001,444525444,444616444,771444525,444444444,0,8,5,78,526,334,26,20,32,38,35,30,4,1794,1,10003,10006,10008,27038,27058,26068,0,0,47351,0,0,0,0,0
10018,เจ้าหยวนเจียง,1,1089,1001,444554656,664444333,444444444,444444444,0,18,1,93,763,389,37,23,26,60,36,44,4,2139,1,10002,10008,10011,32006,0,0,48006,0,47004,0,0,0,0,0
10019,เปี้ยนสี่,1,1098,1001,444262454,131444141,662444444,444444444,0,15,1,52,340,231,21,12,7,31,15,19,4,1196,4,13001,13004,13006,27007,0,0,0,0,0,0,0,0,0,0
10020,หลิวผี้,1,1079,1001,444444444,642444753,662444444,444444444,0,15,6,55,349,242,20,13,7,30,21,20,4,1265,1,10002,10003,10006,26003,27062,27037,0,0,0,0,0,0,0,0
10021,สวีเหอ,1,1079,1001,444626444,444885663,444444444,444444444,0,15,4,53,346,238,21,13,18,22,18,16,4,1219,1,10001,10002,10006,27061,27066,27025,0,0,0,0,0,0,0,0
10022,ซือหม่าจวี้,1,1085,1001,663113444,141663771,663252242,444444444,0,2,2,62,363,274,17,16,32,16,29,29,4,1426,4,13001,13004,13006,27061,26047,26054,0,0,0,0,0,0,0,0
10023,เฉินไป้,1,1081,1001,644444444,611770522,550444444,444444444,0,15,6,61,400,232,24,9,11,42,26,25,4,1403,3,12002,12004,12005,27048,26022,26158,0,0,47101,0,0,0,0,0
10024,ว่านปิ่ง,1,1065,1001,444444343,551363444,252444161,444444444,0,1,2,50,305,228,16,13,23,19,13,18,4,1150,4,13001,13004,13006,26035,27039,26003,0,0,0,0,0,0,0,0
10025,หม่าเซียง,1,1165,1001,880553444,550171080,444444444,444444444,0,3,4,52,340,237,21,14,31,9,15,17,4,1196,1,10002,10003,10005,27060,26033,27061,0,0,47100,0,0,0,0,0
10026,เจ้าจือ,1,1029,1001,147444444,552147147,444444147,444444444,0,3,3,35,228,171,14,9,6,19,12,13,4,805,2,11001,11003,11005,26078,26003,26101,0,0,0,0,0,0,0,0
10027,หวงเซ่า,1,1066,1001,444111444,661811444,444444444,444444444,0,3,0,27,177,145,11,7,10,13,6,9,4,621,1,10001,10002,10003,26165,27055,27034,0,0,0,0,0,0,0,0
10028,เหอม่าน,1,1003,1001,775444444,444522663,444444444,444444444,0,2,4,59,387,259,24,15,16,24,22,20,4,1357,1,10002,10003,10006,26168,26050,27039,34015,0,0,0,0,0,0,0
10029,ตู้หย่วน,1,1065,1001,444444566,444841444,740444444,444444444,0,1,5,35,228,169,14,8,9,17,12,12,4,805,3,12001,12002,12003,26078,26003,26101,0,0,0,0,0,0,0,0
10030,กงตู,1,1080,1001,444236444,432444533,662444444,444444444,0,15,2,54,353,228,22,11,12,33,15,17,4,1242,3,12002,12004,12005,27061,26004,26003,0,0,0,0,0,0,0,0
10031,เผิงทัว,1,1082,1001,444522444,444822663,772444444,444444444,0,15,1,44,309,184,22,7,8,16,19,18,4,1012,1,10001,10002,10006,26035,26004,26078,0,0,0,0,0,0,0,0
10032,อู๋ป้า,1,1107,1001,444222554,542641762,772444651,444444444,0,8,2,76,542,265,30,9,6,66,37,29,4,1748,1,10002,10005,10007,26035,27049,26090,0,0,0,0,0,0,0,0
10033,ปู่จี่,1,1099,1001,444661566,551444651,760444444,444444444,0,15,6,41,267,177,16,7,9,24,18,10,4,943,1,10001,10002,10003,27005,26004,26078,0,0,0,0,0,0,0,0
10034,ต้าฟางเจี้ยง,1,1083,1001,444444444,551444633,662722444,444444444,0,2,3,10,59,82,4,2,2,5,5,2,4,0,1,10002,0,0,26157,26082,27029,0,0,0,0,0,0,0,0
10035,เสี่ยวฟางเจียง,1,1003,1001,663444444,444633662,663444222,444444444,0,2,5,7,47,75,3,2,1,3,2,4,4,0,1,10001,0,0,26047,26082,26157,0,0,0,0,0,0,0,0
10036,ชาวผ้าเหลือง,1,1007,1001,550444545,147456444,444444456,444444444,0,1,2,3,31,66,1,1,1,1,1,1,4,0,2,11001,0,0,26003,27022,26002,0,0,0,0,0,0,0,0
10037,ทหารศึกปีศาจ,1,1023,1001,553345344,256246444,444444444,444444444,0,1,6,1,23,63,0,1,1,1,1,1,4,0,0,0,0,0,32002,32002,26002,0,0,0,0,0,0,0,0
10038,ทหารศึกเหลือง,1,1005,1001,444444444,444444444,444444444,444444444,0,1,1,2,25,64,0,1,1,1,1,1,4,0,1,10001,0,0,26001,26001,27035,0,0,0,0,0,0,0,0
10039,เซียนหนานหัว,1,1066,1001,444555444,541111222,444444444,444444444,1,3,0,200,11724,1824,200,200,300,250,250,300,4,4600,3,12009,12024,12026,0,0,0,0,0,0,0,0,2,0,0
10040,ทหารห้าวบู๊,1,1147,1001,208444445,158616555,444444357,444444444,0,0,0,83,635,344,33,20,3,47,36,26,4,0,2,11005,0,0,26106,27072,27072,36009,0,0,0,0,0,0,0
10041,ทหารซุ่มโจมตี,1,1196,1001,110444333,661771444,444444444,444444444,0,1,7,80,611,333,32,19,4,32,31,41,4,0,1,10007,0,0,27072,26106,26106,0,0,0,0,0,0,0,0
10042,องครักษ์เหลือง,1,1005,1001,550444544,411626444,444444444,444444444,0,1,1,5,38,70,2,1,1,3,2,1,4,0,3,12001,0,0,26001,27022,26002,0,0,0,0,0,0,0,0
10043,ทหารปิศาจท่อง,1,1005,1001,551444555,350888444,444444450,444444444,0,1,7,66,401,235,26,16,6,27,25,30,4,0,4,13006,0,0,26229,26234,26229,0,0,0,0,0,0,0,0
10044,ทหารเซ่นปิศาจ,1,1023,1001,661333553,440871444,444444444,444444444,0,1,3,68,414,241,27,16,5,30,26,31,4,0,1,10006,0,0,26229,26234,26229,0,0,0,0,0,0,0,0
10045,ทหารศึกเดี่ยว,1,1005,1001,444444444,144777444,444444444,444444444,0,1,4,18,102,96,9,3,2,10,4,8,4,0,4,13001,0,0,26100,26165,0,0,0,0,0,0,0,0,0
10046,ทหารศึกดาบแยก,1,1005,1001,444444444,149771444,444444444,444444444,0,1,1,27,147,127,13,7,2,12,11,9,4,0,2,11004,0,0,27028,27036,27036,0,0,0,0,0,0,0,0
10047,ทหารศึกชาวบ้าน,1,1005,1001,444444444,100811444,444444444,444444444,0,1,5,47,300,142,31,4,3,31,16,11,4,0,1,10003,0,0,27047,26050,26050,0,0,0,0,0,0,0,0
10048,กองขวานรบ,1,1062,1001,444640655,940444444,444444740,444444444,0,6,4,99,765,405,40,23,4,46,38,44,4,0,3,12006,0,0,26252,26252,32026,0,0,0,0,0,0,0,0
10049,ทหารศึกดาบสั้น,1,1005,1001,444444444,444252444,444444262,444444444,0,1,1,51,282,148,20,4,5,26,13,34,4,0,4,13006,0,0,27056,27064,26056,0,0,0,0,0,0,0,0
10050,ทหารทวนยาว,1,1005,1001,444444444,217525444,444444444,444444444,0,1,2,35,217,115,19,2,7,16,14,12,4,0,2,11003,0,0,26054,26169,26043,0,0,0,0,0,0,0,0
10051,ทหารศึกหอกยาว,1,1005,1001,444444444,478662444,444444444,444444444,0,1,2,39,247,141,26,6,7,21,8,10,4,0,4,13004,0,0,27003,27037,0,0,0,0,0,0,0,0,0
10052,ทหารศึกดาบใหญ่,1,1005,1001,444444444,138136444,444444444,444444444,0,1,5,54,334,174,28,8,6,34,16,16,4,0,2,11005,0,0,26047,26055,26050,0,0,0,0,0,0,0,0
10053,ทหารศึกเทพ,1,1005,1001,444444444,503565444,444444444,444444444,0,1,3,56,297,188,20,10,22,22,20,20,4,0,3,12005,0,0,26085,26092,26092,0,0,0,0,0,0,0,0
10054,ทหารนายกอง,1,1005,1001,444444444,634161444,444444444,444444444,0,1,6,24,129,109,11,4,5,12,8,8,4,0,3,12002,0,0,26002,26090,26090,0,0,0,0,0,0,0,0
10055,ทหารเกราะกล้า,1,1007,1001,444444444,634535444,444444444,444444444,0,1,4,28,154,119,14,5,7,9,12,9,4,0,3,12002,0,0,27029,26045,0,0,0,0,0,0,0,0,0
10056,ทหารศึกดาบคิ้ว,1,1007,1001,217444544,633960444,444444640,444444444,0,1,5,93,716,382,37,22,5,44,38,37,4,0,3,12005,0,0,26249,26235,26249,37968,0,0,0,0,0,0,0
10057,ทหารศึกกระบี่,1,1064,1001,149444555,551167444,660444660,444444444,0,1,3,94,724,386,38,22,6,36,39,43,4,0,1,10003,0,0,26235,26249,26235,0,0,0,0,0,0,0,0
10058,สะบั้นแสงลอย,1,1148,1001,360444444,460660641,444444460,460444444,0,20,14,99,765,405,40,23,4,43,38,47,4,0,4,13009,0,0,32026,32026,26252,0,0,0,0,0,0,0,0
10059,ทหารเกราะหนัก,1,1007,1001,444444344,116474444,444444444,444444444,0,1,5,8,51,74,3,1,1,3,7,1,4,0,1,10001,0,0,27034,27034,27034,0,0,0,0,0,0,0,0
10060,ทหารศึกแกร่ง,1,1007,1001,444664666,511752444,444444444,444444444,0,1,6,11,58,78,3,1,1,8,6,3,4,0,3,12001,0,0,43032,27035,27035,0,0,0,0,0,0,0,0
10061,ขุนพลง้าวแฉก,1,1003,1001,660444444,660740550,660444660,444444444,0,2,4,100,773,409,40,24,4,48,45,35,4,0,1,10006,0,0,26252,26252,32026,37988,0,0,0,0,0,0,0
10062,ทหารศึกง้าวบิน,1,1196,1001,551444544,161464444,444444464,444444444,0,1,4,49,280,187,26,12,10,14,26,10,4,0,4,13004,0,0,27056,27061,26054,0,0,0,0,0,0,0,0
10063,โจรง้าวยาว,1,1196,1001,551444555,159346444,444444246,444444444,0,1,6,87,668,360,35,21,6,38,39,33,4,0,2,11005,0,0,26249,26235,26235,0,0,0,0,0,0,0,0
10064,โจรทวนเหล็ก,1,1065,1001,644444333,661444444,660444444,444444444,0,1,2,88,676,363,35,21,5,38,38,35,4,0,1,10003,0,0,26235,26249,26249,0,0,0,0,0,0,0,0
10065,ทหารปิศาจบู๊,1,1064,1001,551444555,411444444,511444444,444444444,0,1,2,36,188,166,16,12,16,6,10,12,4,0,3,12004,0,0,26101,26081,26165,0,0,0,0,0,0,0,0
10066,โจรหาญเสือ,1,1064,1001,550444555,511633444,511444444,444444444,0,1,5,88,676,364,35,21,7,38,37,33,4,0,3,12005,0,0,26249,26235,26235,0,0,0,0,0,0,0,0
10067,ทหารหาญทะลาย,1,1023,1001,444544444,114871444,444444444,444444444,0,1,2,10,59,82,4,3,3,5,3,3,4,0,1,10002,0,0,26045,26162,26162,0,0,0,0,0,0,0,0
10068,ทหารหาญแท้,1,1064,1001,551444555,218777444,316444666,444444444,0,1,3,13,75,89,6,3,1,7,4,4,4,0,2,11001,0,0,26045,26080,26045,0,0,0,0,0,0,0,0
10069,องครักษ์บู๊,1,1023,1001,554633444,411611444,444444611,444444444,0,1,6,16,86,89,6,2,2,9,7,5,4,0,3,12001,0,0,27035,27002,27002,0,0,0,0,0,0,0,0
10070,โจรร้ายบู๊,1,1023,1001,661666555,679777444,444444444,444444444,0,1,4,89,684,367,36,21,5,41,38,36,4,0,4,13004,0,0,26235,26249,26249,0,0,0,0,0,0,0,0
10071,ทหารหวงเทียน,1,1023,1001,662662344,662762444,444444444,444444444,0,1,2,13,72,84,5,2,1,8,5,5,4,0,1,10003,0,0,26045,26080,0,0,0,0,0,0,0,0,0
10072,ทหารหาญไท่ผิง,1,1023,1001,555353444,151353444,444444353,444444444,0,1,1,15,73,94,4,4,2,8,5,7,4,0,4,13001,0,0,26045,26080,0,0,0,0,0,0,0,0,0
10073,ทหารหาญเทียนกง,1,1023,1001,652323454,652444444,444444444,444444444,0,1,2,49,195,166,10,8,16,20,17,16,4,0,1,10006,0,0,27056,27061,26054,0,0,0,0,0,0,0,0
10074,จ้าวทหารปีศาจ,1,1023,1001,554246334,145166444,444444444,444444444,0,1,4,24,115,109,8,4,4,11,9,12,4,0,2,11003,0,0,26041,26078,26084,0,0,0,0,0,0,0,0
10075,เหยียนเจิ้ง,1,1003,1001,660444443,660611660,663444444,444444444,0,2,4,55,338,230,18,11,6,33,20,21,4,1265,1,10002,10003,10006,26059,27067,27061,0,0,0,0,0,0,0,0
10076,ซูหม่า,1,1065,1001,622444444,579246444,677444246,444444444,0,1,3,73,519,310,29,18,16,40,37,31,4,1679,4,13001,13004,13006,26086,26005,26044,0,0,0,0,0,0,0,0
10077,กัวสือ,1,1065,1001,444444444,138247353,246444444,444444444,0,1,5,76,533,301,29,15,17,47,36,33,4,1748,2,11001,11003,11008,27057,26018,26035,0,0,0,0,0,0,0,0
10078,โจวเฉา,1,1062,1001,444358343,344247444,444444444,444444444,0,6,1,77,549,325,31,19,14,48,35,32,4,1771,2,11001,11003,11008,26159,26081,26007,0,0,0,0,0,0,0,0
10079,ชวีซิง,1,1108,1001,444124444,126146771,661236345,444444444,0,2,4,85,651,355,34,21,16,61,37,36,4,1955,2,11003,11005,11008,27027,26084,26006,0,0,0,0,0,0,0,0
10080,หวางตู้,1,1098,1001,444333344,661333661,533444444,444444444,0,15,2,56,342,254,18,15,38,7,20,16,1,1288,3,12001,12002,12004,27027,26084,26167,0,0,0,0,0,0,0,0
10081,ทหารมารเถื่อน,1,1064,1001,444444344,578444444,663444444,444444444,0,1,2,4,35,68,2,1,1,1,1,1,4,0,4,13001,0,0,26033,26033,26057,0,0,0,0,0,0,0,0
10082,ทหารมารห้าว,1,1064,1001,444444233,148147444,247444444,444444444,0,1,2,8,51,77,3,2,3,4,1,3,4,0,2,11001,0,0,26033,26033,26057,0,0,0,0,0,0,0,0
10083,โจรหญิงเฝิน,1,1155,1001,444557554,350460444,444444350,444444444,0,11,0,51,257,191,20,12,4,23,22,19,4,0,4,13001,0,0,26167,26170,26167,0,0,0,0,0,0,0,0
10084,โจรหน้าเขียว,1,1021,1001,245457340,626246444,444444315,444444444,0,1,5,53,267,197,21,13,4,25,23,20,4,0,2,11003,0,0,26101,26102,26101,0,0,0,0,0,0,0,0
10085,หัวหน้าทหารมาร,1,1064,1001,444444444,444722111,622444444,444444444,0,1,4,19,99,101,8,4,10,6,3,7,4,0,1,10003,0,0,27003,27003,27003,0,0,0,0,0,0,0,0
10086,จี้จิ่วเฉา,1,1065,1001,444444444,444772444,650444444,444444444,0,1,6,23,108,129,7,9,13,4,3,10,4,0,1,10003,0,0,27040,26053,0,0,0,0,0,0,0,0,0
10087,จี้จิ่วโหว,1,1065,1001,800444444,444147444,147444444,444444444,0,1,7,49,174,182,6,11,32,10,20,19,4,0,2,11003,0,0,27030,27024,27035,0,0,0,0,0,0,0,0
10088,จี้จิ่วซื้อ,1,1065,1001,444444444,444772444,522444444,444444444,0,1,4,23,113,129,8,9,14,2,3,10,4,0,3,12002,0,0,27065,26064,0,0,0,0,0,0,0,0,0
10089,จี้จิ่วเว่ย,1,1065,1001,663444434,444777444,566444777,444444444,0,1,1,30,128,155,7,12,18,4,6,13,4,0,4,13004,0,0,26162,27054,0,0,0,0,0,0,0,0,0
10090,จี้จิ่วซือ,1,1065,1001,772444555,444333444,222444444,444444444,0,1,4,56,264,212,19,15,30,10,21,18,4,0,1,10006,0,0,26158,26042,0,0,0,0,0,0,0,0,0
10091,หมอดู,1,1003,1001,553444444,662333651,662444333,444444444,0,2,2,53,260,205,20,14,34,9,15,14,4,0,1,10006,0,0,27037,26035,0,0,0,0,0,0,0,0,0
10092,ทหารอาคม,1,1003,1001,511444444,147357511,345444346,444444444,0,2,3,38,165,189,10,16,23,3,10,14,4,0,2,11003,0,0,27037,26035,0,0,0,0,0,0,0,0,0
10093,ทหารมายา,1,1003,1001,662444444,533622552,533622552,444444444,0,2,2,41,188,167,13,11,20,16,9,14,4,0,3,12004,0,0,26158,26084,26084,0,42006,0,0,0,0,0,0
10094,ผู้ทำนายชะตา,1,1003,1001,662444444,252252551,566444151,444444444,0,2,1,55,266,210,20,14,30,9,20,19,4,0,4,13004,0,0,26077,27066,0,0,0,0,0,0,0,0,0
10095,จอมเวทย์ปีศาจ,1,1003,1001,662444434,663222662,333444222,444444444,0,2,5,80,506,291,21,21,50,21,30,27,4,0,1,10006,0,0,26029,26115,26007,36010,0,0,0,0,0,0,0
10096,เฟิงซวี,1,1030,1001,136444555,551236246,444444245,444444444,0,3,3,65,394,283,20,16,24,36,23,26,4,1495,2,11001,11003,11005,27032,26085,26170,0,0,0,0,0,0,0,0
10097,สวีเฟิ่ง,1,1030,1001,525444555,551525525,444444444,444444444,0,3,1,63,373,231,18,8,17,43,30,25,4,1449,3,12001,12005,12006,26050,26067,26007,0,0,0,0,0,0,0,0
10098,หวีตู๋,1,1049,1001,444652444,441642752,642770641,444444444,0,2,5,70,451,269,20,12,12,53,36,32,4,1610,1,10002,10006,10008,26016,27018,0,0,0,47007,0,0,0,0,0
10099,ไป๋เย่า,1,1081,1001,552242444,552141141,662444444,444444444,0,15,1,69,429,279,23,14,11,45,28,32,4,1587,4,13002,13005,13006,27057,27039,27007,0,0,47018,0,0,0,0,0
10100,ซุยกู้,1,1065,1001,622444444,555165444,155444265,444444444,0,1,7,65,405,247,22,10,11,41,32,29,4,1495,4,13001,13004,13006,27042,26086,26168,0,0,0,0,0,0,0,0
10101,ถังโจว,1,1117,1001,444662444,670246444,444444357,444444444,0,2,3,59,387,245,24,12,16,26,23,20,4,1357,1,10002,10003,10006,27020,27037,27042,0,0,0,0,0,0,0,0
10102,ทหารศึกพ่าย,1,1007,1001,411444555,660770444,444444661,444444444,0,1,3,56,283,206,22,13,5,23,26,22,4,0,1,10005,0,0,27039,26229,27039,0,0,0,0,0,0,0,0
10103,หลี่ต้ามู่,1,1011,1001,444333554,962761444,444444660,444444444,0,6,5,66,421,281,24,16,5,55,24,23,4,1518,1,10003,10005,10006,26018,26060,27033,0,0,47008,0,0,0,0,0
10104,จั่วจือจั้งปา,1,1062,1001,444151552,862444444,444444444,444444444,0,6,4,67,441,217,27,4,6,50,32,30,4,1541,1,10002,10005,10007,26066,26068,27026,0,0,0,0,0,0,0,0
10105,หลิวสือ,1,1079,1001,444333554,551444551,761444444,444444444,0,15,4,67,441,286,27,16,20,32,26,28,4,1541,1,10001,10002,10005,26067,26091,27021,0,0,0,0,0,0,0,0
10106,หลอซื่อ,1,1065,1001,444444344,255760444,651444444,444444444,0,1,7,62,391,268,22,15,25,26,24,27,4,1426,4,13001,13004,13006,27027,26085,26008,0,0,0,0,0,0,0,0
10107,เหลยกง,1,1065,1001,444444544,631761444,651444444,444444444,0,1,5,64,389,262,20,13,7,49,28,26,4,1472,3,12002,12004,12005,26159,27027,27033,0,0,0,0,0,0,0,0
10108,อู่ลู่,1,1003,1001,553444444,661222651,541444333,444444444,0,2,3,69,455,273,28,13,13,33,35,31,4,1587,1,10002,10003,10006,26115,27038,27008,0,0,0,0,0,0,0,0
10109,ต้าหง,1,1019,1001,662633444,424246246,444444246,444444444,0,2,6,70,468,275,23,13,10,49,38,32,4,1610,2,11001,11003,11005,26115,27043,26018,0,0,47009,0,0,0,0,0
10110,ผ้าเหลือง,1,1005,1001,553444444,631367444,444444246,444444444,0,1,1,8,51,77,3,2,2,4,3,2,4,0,3,12001,0,0,26002,26016,26001,0,0,0,0,0,0,0,0
10111,ทหารผ้าเหลือง1,1,1021,1001,871644555,888333444,444444444,444444444,0,1,2,9,55,80,4,2,5,2,3,2,4,0,4,13001,0,0,27029,27034,0,0,0,0,0,0,0,0,0
10112,ทหารผ้าเหลือง2,1,1021,1001,870444444,267247444,444444236,444444444,0,1,1,11,64,82,4,2,1,6,4,5,4,0,2,11001,0,0,26002,26058,26058,0,0,0,0,0,0,0,0
10113,ทหารผ้าเหลือง3,1,1005,1001,552444454,222741444,444444642,444444444,0,1,1,12,57,94,2,5,7,4,3,3,4,0,1,10002,0,0,26002,26002,26115,0,0,0,0,0,0,0,0
10114,ทหารแพรเหลือง1,1,1005,1001,552444555,611414444,444444414,444444444,0,1,3,14,77,92,6,4,6,5,5,3,4,0,3,12002,0,0,27036,26115,27046,0,0,0,0,0,0,0,0
10115,ขุนพลผ้าเหลือง,1,1007,1001,552333544,414744444,444444424,444444444,0,1,4,60,364,219,24,15,10,35,29,12,4,0,3,12006,0,0,26065,26081,27019,0,0,0,0,0,0,0,0
10116,นักรบผ้าเหลือง,1,1007,1001,551444444,232870444,444444444,444444444,0,1,6,17,90,90,7,2,2,10,9,4,4,0,1,10003,0,0,26169,26169,27035,0,0,0,0,0,0,0,0
10117,ทหารหาญสู้,1,1196,1001,550444333,569460444,444444460,444444444,0,1,6,57,288,209,23,14,5,26,24,21,4,0,4,13004,0,0,27042,27043,27042,40006,0,0,0,0,0,0,0
10118,ทหารศึกเหลือง,1,1007,1001,551444344,246246444,444444246,444444444,0,1,7,21,124,92,12,1,2,12,8,7,4,0,2,11003,0,0,27046,27034,0,33003,0,0,0,0,0,0,0
10119,ทหารแพรเหลือง2,1,1007,1001,552111444,662772444,444444444,444444444,0,1,2,26,142,143,10,11,6,13,10,5,4,0,1,10003,0,0,26053,26053,26053,0,0,0,0,0,0,0,0
10120,ปราชญ์สวรรค์,1,1066,1001,444455444,444455444,444444025,444444444,0,0,0,98,757,414,39,25,46,36,35,15,4,0,2,11011,0,0,32026,32026,26252,0,0,0,0,0,0,0,0
10121,องครักษ์ปีศาจ,1,1064,1001,552444554,138235544,256444356,444444444,0,1,5,30,151,118,12,4,6,18,12,8,4,0,2,11003,0,0,26051,27055,0,0,0,0,0,0,0,0,0
10122,เสือผิงหยาง,1,1147,1001,550444544,510611550,444444511,444444444,0,0,0,72,548,303,29,17,4,39,35,18,4,0,3,12006,0,0,27075,27075,26234,0,0,0,0,0,0,0,0
10123,พรตปิศาจ,1,1003,1001,661444333,147467358,661444135,444444444,0,2,5,73,556,314,29,18,28,30,19,19,4,0,2,11003,0,0,26234,26234,27075,0,0,0,0,0,0,0,0
10124,ทหารปีศาจม่วง,1,1064,1001,552444555,627525661,316444414,444444444,0,1,1,60,364,223,24,15,26,9,28,23,4,0,2,11005,0,0,26079,27018,0,0,0,0,0,0,0,0,0
10125,ทหารหมาป่า,1,1007,1001,553222334,553222444,444444444,444444444,0,1,2,20,108,94,9,2,1,12,6,10,4,0,1,10002,0,0,26165,27066,39013,33003,0,0,0,0,0,0,0
10126,ทหารเลวหมาป่า,1,1007,1001,552444455,146568444,444444256,444444444,0,1,2,48,313,182,19,11,3,28,14,19,4,0,2,11005,0,0,26034,27046,0,0,0,0,0,0,0,0,0
10127,ทหารศึกหมาป่า,1,1007,1001,552444445,641741444,444444641,444444444,0,1,4,38,204,139,18,6,3,18,10,21,4,0,3,12002,0,0,26036,26101,0,0,0,0,0,0,0,0,0
10128,ขุนทัพหมาป่า,1,1007,1001,552333453,464464444,444444363,444444444,0,1,7,44,212,138,16,4,6,21,9,32,4,0,4,13004,0,0,26084,26084,40014,0,40006,0,0,0,0,0,0
10129,เขี้ยวหมาป่า,1,1007,1001,552444554,535256444,444444456,444444444,0,1,3,60,364,218,24,14,9,27,22,29,4,0,2,11005,0,0,26081,27047,0,0,0,0,0,0,0,0,0
10130,ทหารถวายชีพ,1,1005,1001,552444565,414333444,444444444,444444444,0,1,1,20,112,94,10,2,3,10,12,3,4,0,3,12001,0,0,26165,27066,26039,0,0,0,0,0,0,0,0
10131,ทหารรบกล้าตาย,1,1147,1001,511444444,511622356,444444346,444444444,0,0,0,99,963,335,40,23,3,59,57,13,4,0,3,12006,0,0,26095,26096,27072,0,0,0,0,0,0,0,0
10132,ทหารรบเงาตาย,1,1005,1001,552444454,551626444,444444626,444444444,0,1,5,40,221,137,20,5,4,21,18,12,4,0,1,10006,0,0,27066,27066,27066,0,0,0,0,0,0,0,0
10133,ทหารรบเยี่ยม,1,1021,1001,981444555,556363444,444444363,444444444,0,1,6,50,241,193,18,13,21,21,12,17,4,0,2,11005,0,0,26055,26100,26100,0,0,0,0,0,0,0,0
10134,ทหารเขี้ยวร้าย,1,1021,1001,981444555,811871444,444444444,444444444,0,1,3,60,364,225,24,16,34,6,24,21,4,0,3,12006,0,0,26083,27025,27025,0,0,0,0,0,0,0,0
